model,ckpt_epoch,val_ap,test_ap,val_brier,test_brier,val_loss,test_loss,tss_thresh_val,val_tss,test_tss
cnn_baseline,2,0.4188,0.5623,0.0424,0.1263,0.1542,0.4168,0.025020,0.6762,0.3570
cnn_baseline_posw,2,0.4247,0.6037,0.1196,0.2373,0.4152,0.8096,0.534737,0.7269,0.5446
cnn_timepool,3,0.5680,0.6149,0.0401,0.1167,0.1411,0.3917,0.039611,0.7195,0.4607
cnn_timepool_es,3,0.5926,0.6367,0.0367,0.1158,0.1324,0.3983,0.037267,0.7570,0.5163
cnn_gru,3,0.5783,0.5715,0.0378,0.1228,0.1336,0.3791,0.131588,0.7479,0.5113
cnn_gru_es,6,0.4692,0.4954,0.0392,0.1285,0.1322,0.3957,0.057682,0.7632,0.4369
cnn_gru_posw,2,0.4857,0.6379,0.0948,0.1849,0.3353,0.5511,0.469542,0.7055,0.5678
cnn_gru_posw_es,3,0.5076,0.6241,0.0955,0.2040,0.3314,0.6075,0.494529,0.7256,0.5543
