model,ckpt_epoch,val_ap,test_ap,val_brier,test_brier,val_loss,test_loss,tss_thresh_val,val_tss,test_tss
cnn_baseline,2,0.3931,0.3657,0.0695,0.0509,0.2450,0.1827,0.061190,0.6045,0.5856
cnn_baseline_posw,3,0.3789,0.3961,0.1445,0.1117,0.5157,0.4110,0.419932,0.6581,0.6753
cnn_timepool,2,0.3952,0.4010,0.0684,0.0483,0.2377,0.1737,0.083568,0.5593,0.5695
cnn_timepool_es,7,0.4644,0.4041,0.0634,0.0487,0.2289,0.1791,0.055198,0.6126,0.5911
cnn_gru,3,0.3952,0.4176,0.0658,0.0467,0.2228,0.1679,0.096936,0.6565,0.6760
cnn_gru_es,4,0.4486,0.4225,0.0646,0.0473,0.2191,0.1659,0.036053,0.6743,0.6637
cnn_gru_posw,2,0.4355,0.3903,0.1856,0.1628,0.5715,0.5163,0.577589,0.6813,0.6652
cnn_gru_posw_es,2,0.4499,0.4377,0.1830,0.1211,0.5470,0.3814,0.593123,0.6744,0.6777
